county_clean,crime_total,crime_rate,population,Annual Number of Public High School Graduates,2-Year College Enrollment,enroll_4yr,college_enrollment_total
allegany county,231.80434782608697,309.8239130434782,75763.41304347826,642,2586.0,4831.0,7417.0
anne arundel county,2185.021739130435,462.9304347826087,466645.10869565216,5268,12655.0,548.0,13203.0
baltimore city,14311.978260869566,2021.2260869565216,703032.3913043478,4108,4909.0,59254.0,64163.0
baltimore county,5659.152173913043,774.9891304347826,738704.9565217391,7171,17732.0,42571.0,60303.0
calvert county,187.6086956521739,311.1173913043478,64829.15217391304,1227,,,0.0
caroline county,108.58695652173913,380.3739130434783,28570.391304347828,355,,,0.0
carroll county,286.4347826086956,211.32391304347826,137554.39130434784,2121,3126.0,2888.0,6014.0
cecil county,388.8478260869565,472.9652173913044,81941.67391304347,1097,2371.0,,2371.0
charles county,556.7173913043479,483.4391304347826,114610.60869565218,2107,6351.0,,6351.0
dorchester county,186.93478260869566,602.854347826087,31123.0,261,,,0.0
frederick county,662.8913043478261,386.0282608695652,179943.76086956522,3032,6112.0,4412.0,10524.0
garrett county,60.0,210.1391304347826,28518.565217391304,266,648.0,,648.0
harford county,623.5434782608696,313.03043478260867,202867.26086956522,2679,5705.0,,5705.0
howard county,559.7608695652174,285.2,218606.34782608695,4025,9340.0,1446.0,10786.0
kent county,58.41304347826087,312.92826086956524,18595.782608695652,146,,1288.0,1288.0
montgomery county,1913.0217391304348,239.02391304347827,820118.0869565217,10970,21260.0,3085.0,24345.0
prince george's county,6367.95652173913,828.0673913043478,782362.195652174,7898,11789.0,106543.0,118332.0
queen anne's county,104.58695652173913,288.5,37769.15217391304,557,2184.0,,2184.0
somerset county,100.34782608695652,431.1521739130435,23322.17391304348,153,,2886.0,2886.0
st. mary's county,277.5869565217391,336.68260869565216,84484.43478260869,1175,,1512.0,1512.0
talbot county,111.97826086956522,355.0086956521739,32251.521739130436,341,,,0.0
washington county,412.5869565217391,313.95652173913044,130599.89130434782,1698,3836.0,,3836.0
wicomico county,575.9347826086956,694.8152173913044,81965.17391304347,924,2891.0,8617.0,11508.0
worcester county,257.6521739130435,643.2652173913044,41527.67391304348,453,,,0.0
